voter,licensed,philippines,gender,age,working,industry,years_service,institution,tenure,gross_salary,net_salary,benefits1,benefits2,benefits3,benefits4,benefits5,otherbenefits1,otherbenefits2,otherbenefits3,otherbenefits4,materials1,materials2,materials3,materials4,materials5,materials6,materials7,othermaterials1,othermaterials2,othermaterials3,othermaterials4,position,fiveyears,pursue,education,enrolled,completing,study_again,5yearsdegree,cpd1,cpd2,cpd3,cpd4,cpdsupport1,cpdsupport2,cpdsupport3,cpdsatisfaction,cpdbarriers1,cpdbarriers2,cpdbarriers3,topics1,topics2,topics3,topics4,topics5,location,worktravel,filipino,dialect,foreignlang,type,roles,institutionposition,primaryjob,affiliation,factor
30,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,23,"Yes, I am currently employed by an institution, agency, individual or similar.",library,3,private (BPO),permanent,15,13,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,NA,hardcopy theses and dissertations,law materials and resources,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,No (planning to shift to other fields or industry),Public School Library or maybe overseas,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Maybe,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),from the work place (private sponsorship),NA,"No, the amount of trainings I received within the last two (2) years is not enough.",Budget,NA,NA,about leadership- applicable para sa mga katulad ko na wala pang gaanong experience pero napaassign na as an OIC of our library because there's no available librarian,NA,NA,NA,NA,Region IV,Yes,Yes,Others,none,Academic Library,nine,Sole librarian with library assistant and student assistants,"Administration, Management, Cataloging, Bibliographic Control, Collection Development",PLAI & PASLI,Seminars offered
31,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,29,"Yes, I am currently employed by an institution, agency, individual or similar.",library,9,government,permanent,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,52,"Yes, I am currently employed by an institution, agency, individual or similar.",academic institution (non-librarian position),26,private (BPO),permanent,54,24,monetary allowances,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,NA,NA,"educational (for our children), dental (whole family), optical (whole family)",NA,NA,NA,hardcopy theses and dissertations,institutional files and records,NA,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,NA,Doctor of Philosophy (Ph.D),No.,NA,Maybe,Short | Certificate | Diploma Program,government facilitated trainings and symposiums,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"No, the amount of trainings I received within the last two (2) years is not enough.","Seminar & training fees are not affordable already. It is ""sky rocketed"" fee
Employer gives only one (1) full financial sponsorship annually.
CPD requirements is hard too reach for two years terms",NA,NA,"Industrial revolution
Soft skills and hard skill",NA,NA,NA,NA,NCR,Yes,Yes,Ilonggo,NA,Academic (University),"University professor
researcher","Supervisor working other librarians, Manager",Administration,"PLAI 
PAARL
PATLS","ACQUISITION OF ADDITIONAL KNOWLEDGE
UPDATES
COLLABORATION WITH OTHER PROFESSIONALS IN MY FIELD"
33,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,28,"Yes, I am currently employed by an institution, agency, individual or similar.",library,5,private (in-house),permanent,25,22,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,monetary allowances,NA,NA,NA,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Maybe / Undecided,NA,Bachelor's degree (BLIS),No.,NA,Maybe,Master's degree (MLIS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,22,"Yes, I am currently employed by an institution, agency, individual or similar.",library,2,private (in-house),permanent,NA,NA,monetary allowances,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Maybe / Undecided,Government office or special libraries,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),No,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",Financial problem and work schedules,NA,NA,NA,NA,NA,NA,NA,Region III,No,Yes,NA,NA,School library,Reading Program Coordinator,Sole librarian,Administration/Management,PLAI,Established and known
35,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,36,"Yes, I am currently employed by an institution, agency, individual or similar.",library,10,private (in-house),permanent,25,23,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,NA,Master's degree (MLIS),Yes,NA,No,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.","limited budget from the institution

expensive reg. fee of seminars with CPD points",NA,NA,Archives,NA,NA,NA,NA,Region IV,No,Yes,NA,NA,Academic Library,LIS Faculty,Senior Librarian,Serial Librarian,"PLAI
PAARL
LAQueP-LInc",Linkages
36,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,37,"Yes, I am currently employed by an institution, agency, individual or similar.",library,14,private (in-house),permanent,26,20,health card and/or insurance other than PhilHealth,NA,NA,NA,NA,Scholarship with service bond,NA,NA,NA,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,N/A,NA,NA,NA,supervisory / mid-management level,Yes,NA,Doctor of Philosophy (Ph.D),No.,NA,Maybe,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",budget,budget and time,NA,"rda
library management
archives",NA,NA,NA,NA,Region IV,No,Yes,Others,n/a,Academic Library,University Instructor,Head Librarian,Administration,"PLAI, PAARL",Requirements
37,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",LGBTQ+,37,"Yes, I am currently employed by an institution, agency, individual or similar.",library,16,government,permanent,58,46,health card and/or insurance other than PhilHealth,free shuttle service,paid vacation and/or sick leaves,monetary allowances,NA,13 and 14th month pay,NA,NA,NA,hardcopy books / pamphlets / etc,law materials and resources,NA,NA,NA,NA,NA,Previous page answers apply,NA,NA,NA,regular / senior staff (non-supervisory),Maybe / Undecided,Might pursue a career in research/ teaching,Master's degree (non-MLIS),Yes,Master's degree (MLIS),No,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",NA,NA,NA (Have not attended CPD Trainings yet),Point system dont equate to actual learnings.,NA,NA,Active engagement of librarians in collaborative research with government/ private agencies,NA,NA,NA,NA,NCR,Yes,Yes,Ilocano,NA,Special library,Researcher- occasional research requests from bosses.,Midlevel librarian working with other librarians,Reference,PLAI,It should represent me and what i do. I look at PLAI as the mother organization in high regard.
38,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,49,"Yes, I am currently employed by an institution, agency, individual or similar.",library,20,private (BPO),permanent,NA,50,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,NA,NA,NA,Educational benefits,NA,NA,NA,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,institutional files and records,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Maybe / Undecided,NA,Doctor of Philosophy (Ph.D),No.,NA,Maybe,Post-graduate Certificate or Diploma (LIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",within the work place (in-house trainings),NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),from the work place (private sponsorship),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,Marketing LIS Education and collaboration,NA,NA,NA,NA,Region IV,Yes,Yes,Ilonggo,NA,Academic Library,University instructor,Chief Librarian,Management,MAHLAP /PATLS /PLAI,To collaborate  with other librarians and to serve the librarianship profession
39,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,25,"Yes, I am currently employed by an institution, agency, individual or similar.",library,2,government,contractual,17,17,NONE / Not Applicable,NA,NA,NA,NA,"sss, philhealth, pag-ibig",NA,NA,NA,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Yes,NA,Bachelor's degree (non-BLIS),Yes,Master's degree (MLIS),Yes,Post-graduate Certificate or Diploma (LIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",from the work place (private sponsorship),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",shortage of money,NA,NA,use of technology in the library,NA,NA,NA,NA,CARAGA,Yes,No,Cebuano,NA,academic,NA,mid-level librarian,reference,PLAI,mandatory
40,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,25,"Yes, I am currently employed by an institution, agency, individual or similar.",library,4,private (in-house),contractual,19,17,paid vacation and/or sick leaves,monetary allowances,health card and/or insurance other than PhilHealth,free shuttle service,NA,NA,NA,NA,NA,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",institutional files and records,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Maybe / Undecided,Creative work,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Maybe,Master's degree (non-MLIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",Slow processing in PRC,NA,NA,"Online resources, digitization, library relevance in the institution it serves, research",NA,NA,NA,NA,Region VI,No,No,Ilonggo,NA,Special/Research Library,NA,Information Assistant,Information Assistant (Digitization),PLAI,Networking and opportunities for CPD
41,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,54,"Yes, I am currently employed by an institution, agency, individual or similar.",library,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,35,"Yes, I am currently employed by an institution, agency, individual or similar.",library,12,government,permanent,34,20,free shuttle service,monetary allowances,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,law materials and resources,archives (physical),hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Yes,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),No,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,NA,NA,Special library,"Administrative support, technical support, IT, waste segregation officer, archives support staff",Mid-level,"Collection development, cataloging, reference (rotation of duties)",PLAI / PGLL / ASLP / SFA,Place of work and interests
43,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,30,"Yes, I am currently employed by an institution, agency, individual or similar.",library,6,government,permanent,20,18,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,monetary allowances,free shuttle service,NA,Thesis/Dissertation Grant and Scholarship Grant...,NA,NA,NA,archives (physical),hardcopy theses and dissertations,institutional files and records,hardcopy books / pamphlets / etc,data sets,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (MLIS),Yes,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),"from the government (scholarships, free trainings and seminars, etc)",NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",Financial Constraints and Time Availability.,NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,Bicolano,"Spanish, Japanese and Korean.",Academic/Government Institutionalize,"Archivist, Coach, Encoder, Consultant","Mid-level librarian working with other librarian, Supervisor working other librarians, Manager","Management, Cataloging / Bibliographic Control, Collection Development, Reference, Records Officer",PLAI and PAARL,By and under the institution of course.
